,document_id,id,owner,asset,transactiontype,date,notif_date,amount,capgains,assettype,ticker
114,20024596,,jt,"alliance resource partners, l.p. - common units representing limited partnership interests (arlp) [st]",p,02/26/2024,,"$1,001 - $15,000",,st,arlp
115,20024596,,jt,"alliance resource partners, l.p. - common units representing limited partnership interests (arlp) [st] f_____ s_____: new",p,02/15/2024,,"$1,001 - $15,000",,st,arlp
116,20024596,,jt,ardmore shipping corporation common stock (asc) [st],p,02/05/2024,,"$1,001 - $15,000",,st,asc
117,20024596,,jt,ardmore shipping corporation common stock (asc) [st] f_____ s_____: new,p,02/15/2024,,"$1,001 - $15,000",,st,asc
118,20024596,,jt,ardmore shipping corporation common stock (asc) [st],p,02/23/2024,,"$1,001 - $15,000",,st,asc
119,20024596,,jt,"at&t inc. depositary shares, each representing a 1/1,000th interest in a share of 5.000% perpetual preferred stock, series a (t$a) [st]",p,02/02/2024,,"$1,001 - $15,000",,st,t$a
120,20024596,,jt,"duke energy corporation depositary shares, each representing a 1/1,000th interest in a share of 5.75% series a cumulative redeemable perpetual preferred stock (duk$a) [st] f_____ s_____: new",s,02/28/2024,,"$50,001 - $100,000",,st,duk$a
121,20024596,,jt,energy transfer lp common units (et) [st],p,02/21/2024,,"$1,001 - $15,000",,st,et
122,20024596,,jt,flex lng ltd. ordinary shares (flng) [st] f_____ s_____: new,p,02/02/2024,,"$1,001 - $15,000",,st,flng
123,20024596,,jt,flex lng ltd. ordinary shares (flng) [st],p,02/07/2024,,"$1,001 - $15,000",,st,flng
124,20024596,,jt,flex lng ltd. ordinary shares (flng) [st] f_____ s_____: new,p,02/09/2024,,"$1,001 - $15,000",,st,flng
125,20024596,,jt,flex lng ltd. ordinary shares (flng) [st],p,02/23/2024,,"$1,001 - $15,000",,st,flng
126,20024596,,jt,flex lng ltd. ordinary shares (flng) [st] f_____ s_____: new,p,02/26/2024,,"$1,001 - $15,000",,st,flng
127,20024596,,jt,"hercules capital, inc. common stock (htgc) [st]",p,02/01/2024,,"$1,001 - $15,000",,st,htgc
128,20024996,,,ardmore shipping corporation common stock (asc) [st] f_____ s_____: new,p,04/09/2024,,"$1,001 - $15,000",,st,asc
129,20024996,,,ellington financial inc. 7.00% series d cumulative perpetual redeemable preferred stock (efc$d) [st],p,04/02/2024,,"$1,001 - $15,000",,st,efc$d
130,20024996,,,energy transfer lp common units (et) [st] f_____ s_____: new,p,04/30/2024,,"$1,001 - $15,000",,st,et
131,20024996,,,"hercules capital, inc. common stock (htgc) [st]",p,04/16/2024,,"$1,001 - $15,000",,st,htgc
132,20024825,,jt,ardmore shipping corporation common stock (asc) [st] f_____ s_____: new,p,03/04/2024,,"$1,001 - $15,000",,st,asc
133,20024825,,jt,ardmore shipping corporation common stock (asc) [st],p,03/06/2024,,"$1,001 - $15,000",,st,asc
134,20024825,,jt,"hercules capital, inc. common stock (htgc) [st] f_____ s_____: new",p,03/07/2024,,"$1,001 - $15,000",,st,htgc
135,20025200,,,"alliance resource partners, l.p. - common units representing limited partnership interests (arlp) [st] f_____ s_____: new",p,05/15/2024,,"$1,001 - $15,000",,st,arlp
136,20025200,,,"at&t inc. depositary shares, each representing a 1/1,000th interest in a share of 5.000% perpetual preferred stock, series a (t$a) [st]",p,05/01/2024,,"$1,001 - $15,000",,st,t$a
137,20025200,,,energy transfer lp common units (et) [st] f_____ s_____: new,p,05/01/2024,,"$1,001 - $15,000",,st,et
138,20025200,,,energy transfer lp common units (et) [st],p,05/02/2024,,"$1,001 - $15,000",,st,et
139,20025200,,,energy transfer lp common units (et) [st] f_____ s_____: new,p,05/20/2024,,"$1,001 - $15,000",,st,et
140,20025200,,,"hercules capital, inc. common stock (htgc) [st]",p,05/21/2024,,"$1,001 - $15,000",,st,htgc
141,20025170,,jt,"the baldwin insurance group, inc. - class a common stock (brp) [st] f_____ s_____: new s_________ o_: fidelity joint tbe",s,05/08/2024,,"$500,001 - $1,000,000",,st,brp
142,20025035,,,johnson controls international plc ordinary share (jci) [st] f_____ s_____: amended s_________ o_: morgan stanley ira- x141,s,05/24/2023,,"$1,001 - $15,000",,st,jci
143,20024916,,jt,"brp group, inc. - class a common stock (brp) [st] f_____ s_____: new s_________ o_: fidelity joint tbe d__________: 54,445 shares of brp soldon 3/21/24 at average price of $30.04 for $1,635,",s,03/21/2024,,"$1,000,001 - $5,000,000 630.16.",,st,brp
144,20024916,,jt,"brp group, inc. - class a common stock (brp) [st]",s,04/09/2024,,"$1,001 - $15,000",,st,brp
145,20024517,,,"coinbase global, inc. - class a common stock (coin) [st] f_____ s_____: new d__________: sale of entire stock holdingof this security totaling less than $5k.",s,01/19/2024,,"$1,001 - $15,000",,st,coin
146,20024062,,,energy transfer lp common units (et) [st] f_____ s_____: new s_________ o_: equitable retirement account,s,12/06/2023,,"$1,001 - $15,000",,st,et
147,20024062,,,ngl energy partners lp common units representing limited partner interests (ngl) [st],s,01/11/2024,,"$100,001 - $250,000",,st,ngl
148,20024572,,,ngl energy partners lp common units representing limited partner interests (ngl) [st] f_____ s_____: new s_________ o_: equitable retirement account,s,02/26/2024,,"$50,001 - $100,000",,st,ngl
149,20024413,,,ngl energy partners lp common units representing limited partner interests (ngl) [st] f_____ s_____: new s_________ o_: equitable retirement account,s,01/29/2024,,"$100,001 - $250,000",,st,ngl
150,20025207,,jt,"alamo group, inc. common stock (alg) [st] f_____ s_____: new s_________ o_: morgan stanley - selectuma account #1",s,05/06/2024,,"$1,001 - $15,000",,st,alg
151,20025207,,jt,"align technology, inc. - common stock (algn) [st]",s,05/20/2024,,"$1,001 - $15,000",,st,algn
